datum,ka_ruhleben
2015-11-21,261.98
2015-11-22,256.37
2015-11-23,252.16
2015-11-24,225.25
2015-11-25,233.4
2015-11-26,223.18
2015-11-27,219.9
2015-11-28,259.3
2015-11-29,288.9
2015-11-30,376.3
2015-12-01,365.5
2015-12-02,283.31
2015-12-03,210.14
2015-12-04,223.62
2015-12-05,214.55
2015-12-06,205.69
2015-12-07,209.06
2015-12-08,214.84
2015-12-09,224.18
2015-12-10,211.64
2015-12-11,217.29
2015-12-12,283.2
2015-12-13,384.7
2015-12-14,218.86
2015-12-15,211.21
2015-12-16,211.47
2015-12-17,228.68
2015-12-18,255.8
2015-12-19,200.82
2015-12-20,203.28
2015-12-21,264.6
2015-12-22,201.91
2015-12-23,188.71
2015-12-24,181.14
2015-12-25,152.72
2015-12-26,136.46
2015-12-27,144.87
2015-12-28,174.84
2015-12-29,171.45
2015-12-30,182.06
2015-12-31,204.47
2016-01-01,188.95
2016-01-02,171.24
2016-01-03,195.82
2016-01-04,196.8
2016-01-05,196.26
2016-01-06,189.2
2016-01-07,183.22
2016-01-08,328.45
2016-01-09,227.59
2016-01-10,263.99
2016-01-11,254.04
2016-01-12,390
2016-01-13,257.72
2016-01-14,228.16
2016-01-15,217.75
2016-01-16,209.2
2016-01-17,233.72
2016-01-18,206.98
2016-01-19,207.27
2016-01-20,210.93
2016-01-21,218.21
2016-01-22,222.1
2016-01-23,266.2
2016-01-24,284.28
2016-01-25,288.6
2016-01-26,216.4
2016-01-27,232.82
2016-01-28,231.17
2016-01-29,214.44
2016-01-30,309.22
2016-01-31,214.92
2016-02-01,248.41
2016-02-02,276.59
2016-02-03,224.29
2016-02-04,257.29
2016-02-05,226.46
2016-02-06,213.33
2016-02-07,223.85
2016-02-08,239.15
2016-02-09,275.36
2016-02-10,238.24
2016-02-11,264.4
2016-02-12,229.74
2016-02-13,223.08
2016-02-14,232.52
2016-02-15,210.9
2016-02-16,212.43
2016-02-17,228.58
2016-02-18,225.21
2016-02-19,221.97
2016-02-20,251.35
2016-02-21,415.2
2016-02-22,461.6
2016-02-23,229.824
2016-02-24,222.03
