datum;ka_essenkupferdreh
2015-06-25;16596
2015-06-26;15408
2015-06-27;25088.4
2015-06-28;13798.8
2015-06-29;14338.8
2015-06-30;13719.6
2015-07-01;14418
2015-07-02;14277.6
2015-07-03;20577.6
2015-07-04;13327.2
2015-07-05;22100.4
2015-07-06;9950.4
2015-07-07;6562.8
2015-07-08;21222
2015-07-09;31464
2015-07-10;6138
2015-07-11;4266
2015-07-12;9147.6
2015-07-13;19915.2
2015-07-14;33854.4
2015-07-15;10771.2
2015-07-16;3970.8
2015-07-17;4100.4
2015-07-18;4777.2
2015-07-19;32716.8
2015-07-20;11599.2
2015-07-21;12988.8
2015-07-22;7012.8
2015-07-23;5014.8
2015-07-24;7250.4
2015-07-25;31464
2015-07-26;16196.4
2015-07-27;17064
2015-07-28;9745.2
2015-07-29;16660.8
2015-07-30;9568.8
2015-07-31;9864
2015-08-01;10263.6
2015-08-02;9824.4
2015-08-03;11192.4
2015-08-04;29793.6
2015-08-05;15778.8
2015-08-06;10216.8
2015-08-07;26456.4
2015-08-08;17870.4
2015-08-09;9896.4
2015-08-10;28101.6
2015-08-11;24343.2
2015-08-12;9842.4
2015-08-13;9882
2015-08-14;27277.2
2015-08-15;20620.8
2015-08-16;63234
2015-08-17;62712
2015-08-18;50576.4
2015-08-19;27612
2015-08-20;16192.8
2015-08-21;12621.6
2015-08-22;10148.4
2015-08-23;9489.6
2015-08-24;17852.4
2015-08-25;35614.8
2015-08-26;11991.6
2015-08-27;29894.4
2015-08-28;41407.2
2015-08-29;13500
2015-08-30;10818
2015-08-31;11098.8
2015-09-01;33757.2
2015-09-02;20556
2015-09-03;11102.4
2015-09-04;11300.4
2015-09-05;37443.6
2015-09-06;10605.6
2015-09-07;13406.4
2015-09-08;8139.6
2015-09-09;5169.6
2015-09-10;8366.4
2015-09-11;8334
2015-09-12;15530.4
2015-09-13;25462.8
2015-09-14;13186.8
2015-09-15;24379.2
2015-09-16;29314.8
2015-09-17;42706.8
2015-09-18;31424.4
2015-09-19;13975.2
2015-09-20;11743.2
2015-09-21;13654.8
2015-09-22;29606.4
2015-09-23;26182.8
2015-09-24;15249.6
2015-09-25;14155.2
2015-09-26;12211.2
2015-09-27;9655.2
2015-09-28;9406.8
2015-09-29;9061.2
2015-09-30;8730
2015-10-01;9061.2
2015-10-02;9468
2015-10-03;8906.4
2015-10-04;8125.2
2015-10-05;8449.2
2015-10-06;31082.4
2015-10-07;12783.6
2015-10-08;31572
2015-10-09;11988
2015-10-10;10440
2015-10-11;8078.4
2015-10-12;8884.8
2015-10-13;9154.8
2015-10-14;25369.2
2015-10-15;33534
2015-10-16;38826
2015-10-17;32446.8
2015-10-18;19674
2015-10-19;18097.2
2015-10-20;16704
2015-10-21;15613.2
2015-10-22;24091.2
2015-10-23;15861.6
2015-10-24;14266.8
2015-10-25;13557.6
2015-10-26;13276.8
2015-10-27;13374
2015-10-28;14216.4
2015-10-29;13654.8
2015-10-30;12744
2015-10-31;12477.6
2015-11-01;12006
2015-11-02;12571.2
2015-11-03;12517.2
2015-11-04;12452.4
2015-11-05;16930.8
2015-11-06;20041.2
2015-11-07;24073.2
2015-11-08;12060
2015-11-09;17654.4
2015-11-10;12312
2015-11-11;13460.4
2015-11-12;11095.2
2015-11-13;19213.2
2015-11-14;23587.2
2015-11-15;50043.6
2015-11-16;40287.6
2015-11-17;55162.8
2015-11-18;38480.4
2015-11-19;36860.4
2015-11-20;43581.6
2015-11-21;32256
2015-11-22;25707.6
2015-11-23;21924
2015-11-24;26841.6
2015-11-25;43405.2
2015-11-26;26020.8
2015-11-27;23216.4
2015-11-28;36763.2
2015-11-29;54187.2
2015-11-30;66034.8
2015-12-01;72208.8
2015-12-02;57675.6
2015-12-03;49759.2
2015-12-04;52686
2015-12-05;41130
2015-12-06;34138.8
2015-12-07;43419.6
2015-12-08;30441.6
2015-12-09;48848.4
2015-12-10;34106.4
2015-12-11;47988
2015-12-12;54151.2
2015-12-13;55537.2
2015-12-14;37321.2
2015-12-15;32230.8
2015-12-16;45324
2015-12-17;37450.8
2015-12-18;29962.8
2015-12-19;26377.2
2015-12-20;24285.6
2015-12-21;35434.8
2015-12-22;42883.2
2015-12-23;26974.8
2015-12-24;25639.2
2015-12-25;44197.2
2015-12-26;24948
2015-12-27;22899.6
2015-12-28;22723.2
2015-12-29;21391.2
2015-12-30;20581.2
2015-12-31;24951.6
2016-01-01;18691.2
2016-01-02;21380.4
2016-01-03;29422.8
2016-01-04;47304
2016-01-05;26877.6
2016-01-06;23983.2
2016-01-07;37929.6
2016-01-08;38682
2016-01-09;26254.8
2016-01-10;45406.8
2016-01-11;46789.2
2016-01-12;40791.6
2016-01-13;57794.4
2016-01-14;62683.2
2016-01-15;62362.8
2016-01-16;51328.8
2016-01-17;43430.4
2016-01-18;35366.4
2016-01-19;30841.2
2016-01-20;27712.8
2016-01-21;25383.6
2016-01-22;26888.4
2016-01-23;36752.4
2016-01-24;24757.2
2016-01-25;22651.2
2016-01-26;22791.6
2016-01-27;44078.4
2016-01-28;52560
2016-01-29;45860.4
2016-01-30;54388.8
2016-01-31;54198
2016-02-01;54194.4
2016-02-02;55965.6
2016-02-03;54547.2
2016-02-04;53312.4
2016-02-05;59522.4
2016-02-06;49006.8
2016-02-07;42933.6
2016-02-08;48315.6
2016-02-09;53827.2
2016-02-10;53524.8
2016-02-11;51854.4
2016-02-12;59504.4
2016-02-13;49060.8
2016-02-14;55080
2016-02-15;42588
2016-02-16;33120
2016-02-17;31284
2016-02-18;29804.4
2016-02-19;27007.2
2016-02-20;45511.2
2016-02-21;53949.6
2016-02-22;53089.2
2016-02-23;52459.2
2016-02-24;46213.2
2016-02-25;49935.6
2016-02-26;39124.8
2016-02-27;32788.8
2016-02-28;28292.4
2016-02-29;25495.2
2016-03-01;30085.2
2016-03-02;51400.8
2016-03-03;32990.4
2016-03-04;40788
2016-03-05;46231.2
2016-03-06;40374
2016-03-07;48042
2016-03-08;38347.2
2016-03-09;32835.6
2016-03-10;28681.2
2016-03-11;26323.2
2016-03-12;23839.2
2016-03-13;21430.8
2016-03-14;20574
2016-03-15;19519.2
2016-03-16;18212.4
2016-03-17;16909.2
2016-03-18;15890.4
2016-03-19;15224.4
2016-03-20;14018.4
2016-03-21;15332.4
2016-03-22;11624.4
2016-03-23;12070.8
2016-03-24;10069.2
2016-03-25;34113.6
2016-03-26;11797.2
2016-03-27;23680.8
2016-03-28;22424.4
2016-03-29;34524
2016-03-30;16952.4
2016-03-31;16470
2016-04-01;16149.6
2016-04-02;13064.4
2016-04-03;11656.8
2016-04-04;14396.4
2016-04-05;29502
2016-04-06;22737.6
2016-04-07;17949.6
2016-04-08;14839.2
2016-04-09;12582
2016-04-10;10368
2016-04-11;9864
2016-04-12;13978.8
2016-04-13;11574
2016-04-14;9928.8
2016-04-15;18100.8
2016-04-16;19310.4
2016-04-17;12513.6
2016-04-18;8463.6
2016-04-19;6699.6
2016-04-20;7160.4
2016-04-21;7344
2016-04-22;7354.8
2016-04-23;7509.6
2016-04-24;7812
2016-04-25;19371.6
2016-04-26;38016
2016-04-27;45144
2016-04-28;33141.6
2016-04-29;20163.6
2016-04-30;38160
2016-05-01;15868.8
2016-05-02;13388.4
2016-05-03;22237.2
2016-05-04;9975.6
2016-05-05;8161.2
2016-05-06;5158.8
2016-05-07;7099.2
2016-05-08;6404.4
2016-05-09;6638.4
2016-05-10;7837.2
2016-05-11;10360.8
2016-05-12;10609.2
2016-05-13;11034
2016-05-14;9853.2
2016-05-15;7560
2016-05-16;4741.2
2016-05-17;4435.2
2016-05-18;4690.8
2016-05-19;5378.4
2016-05-20;3607.2
2016-05-21;3765.6
2016-05-22;14850
2016-05-23;34794
2016-05-24;22179.6
2016-05-25;6228
2016-05-26;5425.2
2016-05-27;14371.2
2016-05-28;8294.4
2016-05-29;7743.6
2016-05-30;38973.6
2016-05-31;18954
2016-06-01;37407.6
2016-06-02;38797.2
2016-06-03;19724.4
2016-06-04;17222.4
2016-06-05;14983.2
2016-06-06;14990.4
2016-06-07;29718
2016-06-08;28062
2016-06-09;14806.8
2016-06-10;13089.6
2016-06-11;12092.4
2016-06-12;15519.6
2016-06-13;28501.2
2016-06-14;31849.2
2016-06-15;40204.8
2016-06-16;13489.2
2016-06-17;26496
2016-06-18;25822.8
2016-06-19;23680.8
2016-06-20;20228.4
2016-06-21;33303.6
2016-06-22;12466.8
2016-06-23;10177.2
2016-06-24;18439.2
2016-06-25;51127.2
2016-06-26;53715.6
2016-06-27;33706.8
2016-06-28;25516.8
2016-06-29;52790.4
2016-06-30;25056
2016-07-01;27021.6
2016-07-02;35107.2
2016-07-03;21096
2016-07-04;13363.2
2016-07-05;14745.6
2016-07-06;9975.6
2016-07-07;5554.8
2016-07-08;5378.4
2016-07-09;4604.4
2016-07-10;3963.6
2016-07-11;4168.8
2016-07-12;5709.6
2016-07-13;7394.4
2016-07-14;5230.8
2016-07-15;5558.4
2016-07-16;4248
2016-07-17;5237.64
2016-07-18;5288.4
2016-07-19;8719.2
2016-07-20;11509.2
2016-07-21;14029.2
2016-07-22;12452.4
2016-07-23;7750.8
2016-07-24;8287.2
2016-07-25;7455.6
2016-07-26;6001.2
2016-07-27;5184
2016-07-28;16930.8
2016-07-29;7808.4
2016-07-30;4669.2
2016-07-31;15404.4
2016-08-01;4392
2016-08-02;39621.6
2016-08-03;50698.8
2016-08-04;30844.44
2016-08-05;8499.6
2016-08-06;7180.2
2016-08-07;5676.48
2016-08-08;12177.72
2016-08-09;15805.8
2016-08-10;11777.76
2016-08-11;15939.36
2016-08-12;29721.96
2016-08-13;26740.8
2016-08-14;17862.84
2016-08-15;16537.68
2016-08-16;15037.2
2016-08-17;14616
2016-08-18;14587.2
2016-08-19;16088.4
2016-08-20;28684.8
2016-08-21;22003.2
2016-08-22;20689.2
2016-08-23;14583.6
2016-08-24;14536.8
2016-08-25;13964.4
2016-08-26;14734.8
2016-08-27;14565.6
2016-08-28;21225.6
2016-08-29;20653.2
2016-08-30;14198.4
2016-08-31;15382.8
2016-09-01;11260.8
2016-09-02;14454
2016-09-03;12700.8
2016-09-04;38462.4
2016-09-05;15778.8
2016-09-06;13647.6
2016-09-07;13597.2
2016-09-08;13158
2016-09-09;13478.4
2016-09-10;13291.2
2016-09-11;12070.8
2016-09-12;12981.6
2016-09-13;13230
2016-09-14;13352.4
2016-09-15;13312.8
2016-09-16;19152
2016-09-17;13586.4
2016-09-18;13564.8
2016-09-19;12578.4
2016-09-20;13118.4
2016-09-21;13003.2
2016-09-22;12625.2
2016-09-23;13053.6
2016-09-24;12704.4
2016-09-25;12272.4
2016-09-26;13140
2016-09-27;12837.6
2016-09-28;12787.2
2016-09-29;13082.4
2016-09-30;18727.2
2016-10-01;15523.2
2016-10-02;22885.2
2016-10-03;16437.6
2016-10-04;12664.8
2016-10-05;12826.8
2016-10-06;12459.6
2016-10-07;13914
2016-10-08;12373.2
2016-10-09;11923.2
2016-10-10;15987.6
2016-10-11;12805.2
2016-10-12;15786
2016-10-13;12380.4
2016-10-14;12625.2
2016-10-15;15224.4
2016-10-16;11808
2016-10-17;12366
2016-10-18;18410.4
2016-10-19;57391.2
2016-10-20;26398.8
2016-10-21;22226.4
2016-10-22;25167.6
2016-10-23;14342.4
2016-10-24;31726.8
2016-10-25;18176.4
2016-10-26;14994
2016-10-27;14371.2
2016-10-28;16707.6
2016-10-29;15159.6
2016-10-30;13629.6
2016-10-31;13060.8
2016-11-01;13860
2016-11-02;16066.8
2016-11-03;13640.4
2016-11-04;14025.6
2016-11-05;17884.8
2016-11-06;18633.6
2016-11-07;24336
2016-11-08;22636.8
2016-11-09;28954.8
2016-11-10;47235.6
2016-11-11;43149.6
2016-11-12;17766
2016-11-13;16304.4
2016-11-14;15573.6
2016-11-15;27223.2
2016-11-16;72518.4
2016-11-17;51616.8
2016-11-18;53121.6
2016-11-19;33879.6
2016-11-20;28872
2016-11-21;49219.2
2016-11-22;29797.2
2016-11-23;22359.6
2016-11-24;20332.8
2016-11-25;19310.4
2016-11-26;18043.2
2016-11-27;18331.2
2016-11-28;16866
2016-11-29;16092
2016-11-30;15746.4
2016-12-01;15674.4
2016-12-02;20952
2016-12-03;15771.6
2016-12-04;15512.4
2016-12-05;15361.2
2016-12-06;14947.2
2016-12-07;15930
2016-12-08;15541.2
2016-12-09;15591.6
2016-12-10;17672.4
2016-12-11;37976.4
2016-12-12;18928.8
2016-12-13;17017.2
2016-12-14;17607.6
2016-12-15;15933.6
2016-12-16;15631.2
2016-12-17;14911.2
2016-12-18;14414.4
2016-12-19;15012
2016-12-20;19375.2
2016-12-21;16732.8
2016-12-22;47178
2016-12-23;18234
2016-12-24;30553.2
2016-12-25;27788.4
2016-12-26;44830.8
2016-12-27;24022.8
2016-12-28;21877.2
2016-12-29;20505.6
2016-12-30;19832.4
2016-12-31;19490.4
2017-01-01;18019
2017-01-02;24055
2017-01-03;21235
2017-01-04;46755
2017-01-05;20762
2017-01-06;19743
2017-01-07;19110
2017-01-08;23775
2017-01-09;18850
2017-01-10;34635
2017-01-11;45239
2017-01-12;34767
2017-01-13;80280
2017-01-14;51566
2017-01-15;34809
2017-01-16;29434
2017-01-17;25625
2017-01-18;24279
2017-01-19;22398
2017-01-20;21524
2017-01-21;20707
2017-01-22;19500
2017-01-23;19487
2017-01-24;20034
2017-01-25;19235
2017-01-26;18569
2017-01-27;19328
2017-01-28;19230
2017-01-29;21800
2017-01-30;52227
2017-01-31;25239
2017-02-01;22887
2017-02-02;21873
2017-02-03;26328
2017-02-04;36053
2017-02-05;30765
2017-02-06;22803
2017-02-07;26014
2017-02-08;22625
2017-02-09;21110
2017-02-10;20790
2017-02-11;31429
2017-02-12;24188
2017-02-13;20364
2017-02-14;19361
2017-02-15;19593
2017-02-16;18971
2017-02-17;31351
2017-02-18;19275
2017-02-19;21571
2017-02-20;32007
2017-02-21;51775
2017-02-22;60832
2017-02-23;84477
2017-02-24;74487
2017-02-25;59421
2017-02-26;39524
2017-02-27;42120
2017-02-28;56454
2017-03-01;64891
2017-03-02;54552
2017-03-03;38254
2017-03-04;37725
2017-03-05;54572
2017-03-06;61806
2017-03-07;57312
2017-03-08;62542
2017-03-09;68148
2017-03-10;57034
2017-03-11;41048
2017-03-12;35164
2017-03-13;30449
2017-03-14;28232
2017-03-15;26691
2017-03-16;25028
2017-03-17;24847
2017-03-18;66929
2017-03-19;64351
2017-03-20;38193
2017-03-21;45428
2017-03-22;32691
2017-03-23;30565
2017-03-24;28202
2017-03-25;26645
2017-03-26;24857
2017-03-27;23889
2017-03-28;23542
2017-03-29;23443
2017-03-30;22826
2017-03-31;22599
2017-04-01;25139
2017-04-02;22710
2017-04-03;20706
2017-04-04;20366
2017-04-05;19924
2017-04-06;18926
2017-04-07;18841
2017-04-08;18518
2017-04-09;17139
2017-04-10;16911
2017-04-11;18049
2017-04-12;17458
2017-04-13;17524
2017-04-14;16271
2017-04-15;18866
2017-04-16;22223
2017-04-17;53475
2017-04-18;20856
2017-04-19;17425
2017-04-20;16938
2017-04-21;16981
2017-04-22;23571
2017-04-23;16699
2017-04-24;17483
2017-04-25;21113
2017-04-26;18588
2017-04-27;16917
2017-04-28;17803
2017-04-29;15775
2017-04-30;14624
2017-05-01;20660
2017-05-02;24039
