Name;Datum;Tagessumme;Vollständigkeit(%)
Aakgraben;2017-06-05;0.00;100
Aakgraben;2017-06-06;0.15;100
Aakgraben;2017-06-07;1.46;100
Aakgraben;2017-06-08;0.00;100
Aakgraben;2017-06-09;9.13;100
Aakgraben;2017-06-10;0.00;100
Aakgraben;2017-06-11;0.59;100
Aakgraben;2017-06-12;0.00;100
Aakgraben;2017-06-13;0.00;100
Aakgraben;2017-06-14;0.00;100
Aakgraben;2017-06-15;15.00;100
Aakgraben;2017-06-16;0.00;100
Aakgraben;2017-06-17;0.06;100
Aakgraben;2017-06-18;0.00;100
Aakgraben;2017-06-19;0.00;100
Aakgraben;2017-06-20;0.00;100
Aakgraben;2017-06-21;0.00;100
Aakgraben;2017-06-22;0.00;100
Aakgraben;2017-06-23;0.00;100
Aakgraben;2017-06-24;1.01;100
Aakgraben;2017-06-25;0.10;100
Aakgraben;2017-06-26;0.00;100
Aakgraben;2017-06-27;0.58;100
Aakgraben;2017-06-28;1.91;100
Aakgraben;2017-06-29;0.08;100
Aakgraben;2017-06-30;3.11;100
Aakgraben;2017-07-01;4.88;100
Aakgraben;2017-07-02;4.02;100
Aakgraben;2017-07-03;0.04;100
Aakgraben;2017-07-04;0.00;100
Aakgraben;2017-07-05;0.00;100
Aakgraben;2017-07-06;3.62;100
Aakgraben;2017-07-07;0.00;100
Aakgraben;2017-07-08;0.00;100
Aakgraben;2017-07-09;9.57;100
Aakgraben;2017-07-10;1.67;100
Aakgraben;2017-07-11;3.69;100
Aakgraben;2017-07-12;23.61;100
Aakgraben;2017-07-13;0.00;100
Aakgraben;2017-07-14;2.83;100
Aakgraben;2017-07-15;0.00;100
Aakgraben;2017-07-16;2.98;100
Aakgraben;2017-07-17;0.00;100
Aakgraben;2017-07-18;0.00;100
Aakgraben;2017-07-19;10.93;100
Aakgraben;2017-07-20;1.97;100
Aakgraben;2017-07-21;13.64;100
Aakgraben;2017-07-22;13.73;100
Aakgraben;2017-07-23;2.33;100
Aakgraben;2017-07-24;9.69;100
Aakgraben;2017-07-25;31.58;100
Aakgraben;2017-07-26;0.98;100
Aakgraben;2017-07-27;0.07;100
Aakgraben;2017-07-28;0.34;100
Aakgraben;2017-07-29;6.69;100
Aakgraben;2017-07-30;0.00;100
Aakgraben;2017-07-31;0.35;100
Aakgraben;2017-08-01;1.32;100
Aakgraben;2017-08-02;5.98;100
Aakgraben;2017-08-03;0.53;100
Aakgraben;2017-08-04;0.88;100
Aakgraben;2017-08-05;23.67;100
Aakgraben;2017-08-06;0.00;100
Aakgraben;2017-08-07;0.00;100
Aakgraben;2017-08-08;0.19;100
Aakgraben;2017-08-09;0.00;100
Aakgraben;2017-08-10;21.58;100
Aakgraben;2017-08-11;31.80;100
Aakgraben;2017-08-12;0.67;100
Aakgraben;2017-08-13;0.00;100
Aakgraben;2017-08-14;0.00;100
Aakgraben;2017-08-15;0.16;100
Aakgraben;2017-08-16;0.00;100
Aakgraben;2017-08-17;1.36;100
Aakgraben;2017-08-18;6.31;100
Aakgraben;2017-08-19;0.70;100
Aakgraben;2017-08-20;0.00;100
Aakgraben;2017-08-21;0.00;100
Aakgraben;2017-08-22;0.00;100
Aakgraben;2017-08-23;0.00;100
Aakgraben;2017-08-24;0.00;100
Aakgraben;2017-08-25;0.00;100
Aakgraben;2017-08-26;0.00;100
Aakgraben;2017-08-27;0.00;100
Aakgraben;2017-08-28;0.00;100
Aakgraben;2017-08-29;0.00;100
Aakgraben;2017-08-30;24.27;100
Aakgraben;2017-08-31;3.11;100
Aakgraben;2017-09-01;0.12;100
Aakgraben;2017-09-02;0.19;100
Aakgraben;2017-09-03;0.06;100
Aakgraben;2017-09-04;0.04;100
Aakgraben;2017-09-05;0.19;100
Aakgraben;2017-09-06;1.57;100
Aakgraben;2017-09-07;0.30;100
Aakgraben;2017-09-08;17.87;100
Aakgraben;2017-09-09;3.41;100
Aakgraben;2017-09-10;0.00;100
Aakgraben;2017-09-11;0.59;100
Aakgraben;2017-09-12;4.45;100
Aakgraben;2017-09-13;2.35;100
Aakgraben;2017-09-14;5.66;100
Aakgraben;2017-09-15;1.80;100
Aakgraben;2017-09-16;0.00;100
Aakgraben;2017-09-17;0.92;100
Aakgraben;2017-09-18;1.62;100
Aakgraben;2017-09-19;0.03;100
Aakgraben;2017-09-20;0.31;100
Aakgraben;2017-09-21;0.00;100
Aakgraben;2017-09-22;2.10;100
Aakgraben;2017-09-23;0.03;100
Aakgraben;2017-09-24;0.00;100
Aakgraben;2017-09-25;0.00;100
Aakgraben;2017-09-26;0.00;100
Aakgraben;2017-09-27;0.00;100
Aakgraben;2017-09-28;0.06;100
Aakgraben;2017-09-29;4.70;100
Aakgraben;2017-09-30;21.53;100
Aakgraben;2017-10-01;0.26;100
Aakgraben;2017-10-02;6.71;100
Aakgraben;2017-10-03;2.34;100
Aakgraben;2017-10-04;5.71;100
Aakgraben;2017-10-05;8.68;100
Aakgraben;2017-10-06;2.23;100
Aakgraben;2017-10-07;10.63;100
Aakgraben;2017-10-08;0.92;100
Aakgraben;2017-10-09;2.50;100
Aakgraben;2017-10-10;0.91;100
Aakgraben;2017-10-11;0.00;100
Aakgraben;2017-10-12;0.00;100
Aakgraben;2017-10-13;0.00;100
Aakgraben;2017-10-14;0.00;100
Aakgraben;2017-10-15;0.00;100
Aakgraben;2017-10-16;0.00;100
Aakgraben;2017-10-17;0.00;100
Aakgraben;2017-10-18;0.00;100
Aakgraben;2017-10-19;0.00;100
Aakgraben;2017-10-20;3.04;100
Aakgraben;2017-10-21;2.06;100
Aakgraben;2017-10-22;3.28;100
Aakgraben;2017-10-23;0.00;100
Aakgraben;2017-10-24;0.22;100
Aakgraben;2017-10-25;0.66;100
Aakgraben;2017-10-26;0.65;100
Aakgraben;2017-10-27;0.12;100
Aakgraben;2017-10-28;3.56;100
Aakgraben;2017-10-29;0.04;100
Aakgraben;2017-10-30;0.00;100
Aakgraben;2017-10-31;2.93;100
Aakgraben;2017-11-01;0.00;100
Aakgraben;2017-11-02;1.97;100
Aakgraben;2017-11-03;0.00;100
Aakgraben;2017-11-04;7.64;100
Aakgraben;2017-11-05;9.80;100
Aakgraben;2017-11-06;0.00;100
Aakgraben;2017-11-07;0.00;100
Aakgraben;2017-11-08;0.00;100
Aakgraben;2017-11-09;1.23;100
Aakgraben;2017-11-10;6.17;100
Aakgraben;2017-11-11;1.48;100
Aakgraben;2017-11-12;5.17;100
Aakgraben;2017-11-13;0.00;100
Aakgraben;2017-11-14;0.31;100
Aakgraben;2017-11-15;0.00;100
Aakgraben;2017-11-16;0.39;100
Aakgraben;2017-11-17;0.00;100
Aakgraben;2017-11-18;3.54;100
Aakgraben;2017-11-19;1.02;100
Aakgraben;2017-11-20;9.32;100
Aakgraben;2017-11-21;4.30;100
